package,stars,downloads,gallery,description,CRAN
ggsmc,NA,3767,NA,"Visualising Output from Sequential Monte Carlo Samplers and
Ensemble-Based Methods",TRUE
ggscidca,NA,3729,NA,Plotting Decision Curve Analysis with Coloured Bars,TRUE
ggbrace,NA,3659,NA,Curly Braces for 'ggplot2',TRUE
tidyEdSurvey,NA,3545,NA,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',TRUE
ggScatRidges,NA,3325,NA,Scatter Plot Combined with Ridgelines in 'ggplot2',TRUE
ggaligner,NA,3280,NA,"Visualizing Sequence Alignment by Generating Publication-Ready
Plots",TRUE
ggautomap,NA,3244,NA,Create Maps from a Column of Place Names,TRUE
ggRtsy,NA,3023,NA,Add Some Van Gogh Colors and Overlay Colors on Your 'ggplot()',TRUE
gggenomes,641,2871,TRUE,A Grammar of Graphics for Comparative Genomics,TRUE
ipeaplot,NA,2786,NA,Add Ipea Editorial Standards to 'ggplot2' Graphics,TRUE
flowmapper,NA,2740,NA,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",TRUE
ggthemeUL,NA,2710,NA,A 'ggplot' Theme for University of Ljubljana,TRUE
tinythemes,NA,2626,NA,Lightweight Repackaging of 'Themes' for 'ggplot2',TRUE
plotthis,NA,2617,NA,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",TRUE
RGraphSpace,NA,2484,NA,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,TRUE
ggreveal,33,2380,TRUE,Reveal a 'ggplot' Incrementally,TRUE
ggpca,2,2274,TRUE,"Publication-Ready PCA, t-SNE, and UMAP Plots",TRUE
ggtibble,NA,2259,NA,Create Tibbles and Lists of 'ggplot' Figures for Reporting,TRUE
ggbrick,NA,2179,NA,Waffle Style Chart with a Brick Layout in 'ggplot2',TRUE
ggvolcano,NA,2177,NA,Publication-Ready Volcano Plots,TRUE
legendry,211,2038,TRUE,Extended Legends and Axes for 'ggplot2',TRUE
ggfields,NA,2027,NA,Add Vector Field Layers to Ggplots,TRUE
gglogger,NA,2001,NA,Track 'ggplot2' Calls,TRUE
ggsem,NA,1843,NA,Interactively Visualize Structural Equation Modeling Diagrams,TRUE
ggfoundry,17,1799,TRUE,Shape Foundry & Geom for 'ggplot2',TRUE
ggview,NA,1760,NA,'ggplot2' Picture Previewer,TRUE
