package,description,downloads,CRAN
ggScatRidges,Scatter Plot Combined with Ridgelines in 'ggplot2',3325,TRUE
ggsci,"Scientific Journal and Sci-Fi Themed Color Palettes for
'ggplot2'",11836466,TRUE
ggscidca,Plotting Decision Curve Analysis with Coloured Bars,3729,TRUE
ggseas,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',115858,TRUE
ggsector,Draw Sectors,7530,TRUE
ggseg,Plotting Tool for Brain Atlases,24005,TRUE
ggseg3d,Tri-Surface Mesh Plots for Brain Atlases,14646,TRUE
ggsem,Interactively Visualize Structural Equation Modeling Diagrams,1843,TRUE
ggseqlogo,"A 'ggplot2' Extension for Drawing Publication-Ready Sequence
Logos",146268,TRUE
ggseqplot,Render Sequence Plots using 'ggplot2',16406,TRUE
ggshadow,Shadow and Glow Geoms for 'ggplot2',15444,TRUE
ggside,Side Grammar Graphics,270321,TRUE
ggsignif,Significance Brackets for 'ggplot2',11780810,TRUE
ggsmc,"Visualising Output from Sequential Monte Carlo Samplers and
Ensemble-Based Methods",3767,TRUE
ggsoccer,Plot Soccer Event Data,44346,TRUE
ggsolvencyii,A 'ggplot2'-Plot of Composition of Solvency II SCR: SF and IM,22175,TRUE
ggsom,New Data Visualisations for SOMs Networks,26430,TRUE
ggspark,'ggplot2' Functions to Create Tufte Style Sparklines,1671,TRUE
ggspatial,Spatial Data Framework for ggplot2,570083,TRUE
ggspectra,Extensions to 'ggplot2' for Radiation Spectra,70519,TRUE
ggstackplot,Create Overlapping Stacked Plots,418,TRUE
ggstance,Horizontal 'ggplot2' Components,1403660,TRUE
ggstar,Multiple Geometric Shape Point Layer for 'ggplot2',61181,TRUE
ggstats,Extension to 'ggplot2' for Plotting Stats,1214852,TRUE
ggstatsplot,'ggplot2' Based Plots with Statistical Details,604023,TRUE
ggstream,Create Streamplots in 'ggplot2',28782,TRUE
ggstudent,Continuous Confidence Interval Plots using t-Distribution,12589,TRUE
ggsurveillance,Tools for Outbreak Investigation/Infectious Disease Surveillance,592,TRUE
ggsurvey,Simplifying 'ggplot2' for Survey Data,8551,TRUE
ggsurvfit,Flexible Time-to-Event Figures,153033,TRUE
ggswissmaps,Offers Various Swiss Maps as Data Frames and 'ggplot2' Objects,43920,TRUE
ggtangle,Draw Network with Data,48635,TRUE
ggtaxplot,Create Plots to Visualize Taxonomy,494,TRUE
ggtea,Palettes and Themes for 'ggplot2',7929,TRUE
ggtern,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",235132,TRUE
ggtext,Improved Text Rendering Support for 'ggplot2',3205090,TRUE
ggThemeAssist,Add-in to Customize 'ggplot2' Themes,136735,TRUE
ggthemes,"Extra Themes, Scales and Geoms for 'ggplot2'",6103769,TRUE
ggthemeUL,A 'ggplot' Theme for University of Ljubljana,2710,TRUE
ggtibble,Create Tibbles and Lists of 'ggplot' Figures for Reporting,2259,TRUE
ggtikz,"Post-Process 'ggplot2' Plots with 'TikZ' Code Using Plot
Coordinates",11446,TRUE
ggTimeSeries,Time Series Visualisations Using the Grammar of Graphics,46470,TRUE
ggtrace,Trace and Highlight Groups of Data Points,7238,TRUE
ggtrendline,Add Trendline and Confidence Interval to 'ggplot',11095,TRUE
ggtricks,Create Sector and Other Charts Easily Using Grammar of Graphics,4855,TRUE
ggupset,Combination Matrix Axis for 'ggplot2' to Create 'UpSet' Plots,145758,TRUE
ggvenn,Draw Venn Diagram by 'ggplot2',159788,TRUE
ggVennDiagram,A 'ggplot2' Implement of Venn Diagram,211756,TRUE
ggversa,Graficas Versatiles Con 'ggplot2',31939,TRUE
ggview,'ggplot2' Picture Previewer,1760,TRUE
ggvis,Interactive Grammar of Graphics,942598,TRUE
ggvolcano,Publication-Ready Volcano Plots,2177,TRUE
ggwordcloud,A Word Cloud Geom for 'ggplot2',196648,TRUE
ggx,A Natural Language Interface to 'ggplot2',12581,TRUE
add2ggplot,Add to 'ggplot2',26470,TRUE
aplot,Decorate a 'ggplot' with Associated Information,1197947,TRUE
aRtsy,Generative Art with 'ggplot2',29117,TRUE
bdscale,Remove Weekends and Holidays from ggplot2 Axes,51051,TRUE
calendR,Ready to Print Monthly and Yearly Calendars Made with 'ggplot2',49984,TRUE
ComplexUpset,Create Complex UpSet Plots Using 'ggplot2' Components,66655,TRUE
contribution,A Tiny Contribution Table Generator Based on 'ggplot2',29590,TRUE
cowplot,Streamlined Plot Theme and Plot Annotations for 'ggplot2',17426420,TRUE
cytofan,Plot Fan Plots for Cytometry Data using 'ggplot2',24192,TRUE
egg,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",737139,TRUE
figpatch,"Easily Arrange External Figures with Patchwork Alongside
'ggplot2' Figures",13613,TRUE
fillpattern,Patterned Fills for 'ggplot2' and 'grid' Graphics,6390,TRUE
flowmapper,"Draw Flows (Migration, Goods, Money, Information) on 'ggplot2'
Plots",2740,TRUE
gamlss.ggplots,"Plotting Functions for Generalized Additive Model for Location
Scale and Shape",8738,TRUE
gapmap,Drawing Gapped Cluster Heatmaps with 'ggplot2',38484,TRUE
geofacet,'ggplot2' Faceting Utilities for Geographical Data,89089,TRUE
geomtextpath,Curved Text in 'ggplot2',102282,TRUE
granovaGG,Graphical Analysis of Variance Using ggplot2,49036,TRUE
gratia,"Graceful 'ggplot'-Based Graphics and Other Functions for GAMs
Fitted Using 'mgcv'",127146,TRUE
gwaRs,"Manhattan, Q-Q, and PCA Plots using 'ggplot2'",13844,TRUE
heatmaply,Interactive Cluster Heat Maps Using 'plotly' and 'ggplot2',672289,TRUE
hrbrthemes,"Additional Themes, Theme Components and Utilities for 'ggplot2'",2955004,TRUE
ipeaplot,Add Ipea Editorial Standards to 'ggplot2' Graphics,2786,TRUE
jcolors,"Colors Palettes for R and 'ggplot2', Additional Themes for
'ggplot2'",95080,TRUE
jskm,Kaplan-Meier Plot with 'ggplot2',50553,TRUE
layer,Tilt your Maps and Turn Them into 'ggplot' Plots,3826,TRUE
legendry,Extended Legends and Axes for 'ggplot2',2038,TRUE
lemon,Freshing Up your 'ggplot2' Plots,277804,TRUE
loon.ggplot,A Grammar of Interactive Graphics,23200,TRUE
mlbplotR,"Create 'ggplot2' and 'gt' Visuals with Major League Baseball
Logos",7105,TRUE
nflplotR,NFL Logo Plots in 'ggplot2' and 'gt',31301,TRUE
nord,"Arctic Ice Studio's Nord and Group of Seven Inspired Colour
Palettes for 'ggplot2'",35282,TRUE
onsvplot,"National Road Safety Observatory (ONSV) Style for 'ggplot2'
Graphics",9803,TRUE
painbow,"Use XKCD's ""Painbow"" Colormap in ggplot2",7517,TRUE
plothelper,"New Plots Based on 'ggplot2' and Functions to Create Regular
Shapes",24842,TRUE
plotluck,"'ggplot2' Version of ""I'm Feeling Lucky!""",36529,TRUE
plotthis,"High-Level Plotting Built Upon 'ggplot2' and Other Plotting
Packages",2617,TRUE
qqplotr,Quantile-Quantile Plot Extensions for 'ggplot2',444996,TRUE
qtl2ggplot,Data Visualization for QTL Experiments,12788,TRUE
quickReg,"Build Regression Models Quickly and Display the Results Using
'ggplot2'",39483,TRUE
RcmdrPlugin.KMggplot2,R Commander Plug-in for Data Visualization with 'ggplot2',130673,TRUE
RGraphSpace,A Lightweight Interface Between 'ggplot2' and 'igraph' Objects,2484,TRUE
see,Model Visualisation Toolbox for 'easystats' and 'ggplot2',695468,TRUE
smplot2,"Create Standalone and Composite Plots in 'ggplot2' for
Publications",10610,TRUE
SparseBiplots,"'HJ-Biplot' using Different Ways of Penalization Plotting with
'ggplot2'",19073,TRUE
sportyR,Plot Scaled 'ggplot' Representations of Sports Playing Surfaces,21428,TRUE
stevethemes,Steve's 'ggplot2' Themes and Related Theme Elements,4161,TRUE
survminer,Drawing Survival Curves using 'ggplot2',2322447,TRUE
swimplot,Tools for Creating Swimmers Plots using 'ggplot2',29872,TRUE
tablesgg,"Presentation-Quality Tables, Displayed Using 'ggplot2'",13012,TRUE
tgamtheme,Globe and Mail Graphics Theme for 'ggplot2',12662,TRUE
thematic,"Unified and Automatic 'Theming' of 'ggplot2', 'lattice', and
'base' R Graphics",239715,TRUE
tidyEdSurvey,Integration of 'dplyr' and 'ggplot2' with 'EdSurvey',3545,TRUE
tidyterra,'tidyverse' Methods and 'ggplot2' Helpers for 'terra' Objects,161408,TRUE
tidytext,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",3927417,TRUE
tinythemes,Lightweight Repackaging of 'Themes' for 'ggplot2',2626,TRUE
treemapify,Draw Treemaps in 'ggplot2',1013122,TRUE
tvthemes,TV Show Themes and Color Palettes for 'ggplot2' Graphics,40012,TRUE
unhcrthemes,UNHCR 'ggplot2' Theme and Colour Palettes,3984,TRUE
waterfalls,Create Waterfall Charts using 'ggplot2' Simply,2580394,TRUE
xkcd,Plotting ggplot2 Graphics in an XKCD Style,78544,TRUE
